Player,Age,Pos,Games Played,Games Started,Weight,Height,OYA
Israel Abanika,22,RB,0,0,216,5-11,376.3
Brandon Aiyuk,26,WR,7,7,200,6-0,376.3
Brandon Allen,32,QB,3,1,209,6-2,376.3
Evan Anderson,22,DL,12,1,326,6-3,376.3
Tre Avery,27,CB,0,0,185,5-11,376.3
Aaron Banks,27,OL,13,13,325,6-5,376.3
Alex Barrett,30,DL,3,0,250,6-2,376.3
Ben Bartch,26,OL,3,2,315,6-6,376.3
Robert Beal,25,DL,14,0,250,6-4,376.3
Tatum Bethune,23,LB,11,1,230,6-1,376.3
Nick Bosa,27,DL,14,14,266,6-4,376.3
Jake Brendel,32,OL,17,17,299,6-4,376.3
Ji'Ayir Brown,24,S,17,13,202,5-11,376.3
Spencer Burford,24,OL,15,0,300,6-4,376.3
De'Vondre Campbell,31,LB,13,12,232,6-4,376.3
Maliek Collins,29,DL,17,17,310,6-2,376.3
Chris Conley,32,WR,15,2,205,6-3,376.3
Jacob Cowing,23,WR,15,0,171,5-9,376.3
Kalia Davis,26,DL,13,0,310,6-2,376.3
Khalil Davis,28,DT,3,0,315,6-2,376.3
Joshua Dobbs,29,QB,2,1,220,6-3,376.3
Jordan Elliott,27,DL,15,13,303,6-4,376.3
Jon Feliciano,32,OL,0,0,325,6-4,376.3
Leonard Floyd,32,DL,17,17,240,6-3,376.3
Tashaun Gipson,34,S,9,0,212,5-11,376.3
Kevin Givens,27,DL,8,1,285,6-1,376.3
Jalen Graham,23,LB,8,0,220,6-3,376.3
Renardo Green,24,CB,17,7,186,6-0,376.3
Dre Greenlaw,27,LB,2,2,230,6-0,376.3
Yetur Gross-Matos,26,DL,11,0,265,6-5,376.3
Isaac Guerendo,24,RB,16,3,221,6-0,376.3
Javon Hargrave,31,DL,3,3,305,6-2,376.3
Charlie Heck,28,OL,2,2,315,6-8,376.3
Matt Hennessy,27,OL,2,0,295,6-4,376.3
Talanoa Hufanga,25,S,7,7,200,6-0,376.3
Drake Jackson,23,DL,0,0,273,6-4,376.3
Jauan Jennings,27,WR,15,10,212,6-3,376.3
Kyle Juszczyk,33,FB,17,15,235,6-2,376.3
George Kittle,31,TE,15,15,250,6-4,376.3
Deommodore Lenoir,25,DB,15,15,200,5-10,376.3
Darrell Luter,24,CB,3,0,190,6-0,376.3
Jordan Mason,25,RB,12,6,223,5-11,376.3
Christian McCaffrey,28,RB,4,4,210,5-11,376.3
Nick McCloud,26,CB,8,0,193,6-1,376.3
Colton McKivitz,28,OL,17,17,301,6-6,376.3
Elijah Mitchell,26,RB,0,0,200,5-10,376.3
Jake Moody,25,K,14,0,210,6-1,376.3
Jaylon Moore,26,OL,15,5,311,6-4,376.3
Malik Mustapha,22,S,16,12,206,5-10,376.3
Pat O'Donnell,33,P,8,0,223,6-4,376.3
George Odum,31,S,12,2,202,6-1,376.3
Sam Okuayinonu,26,DL,16,3,269,6-1,376.3
Ricky Pearsall,24,WR,11,4,189,6-3,376.3
Taybor Pepper,30,LS,17,0,245,6-4,376.3
Austen Pleasants,27,OL,3,0,330,6-7,376.3
Dominick Puni,24,OL,17,17,313,6-5,376.3
Brock Purdy,25,QB,15,15,220,6-1,376.3
Curtis Robinson,26,LB,3,0,235,6-3,376.3
Deebo Samuel,28,WR,15,15,215,6-0,376.3
Eric Saubert,30,TE,17,3,248,6-5,376.3
Patrick Taylor,26,RB,13,1,217,6-2,376.3
Jake Tonges,25,TE,16,0,240,6-4,376.3
Charvarius Ward,28,CB,12,12,196,6-1,376.3
Fred Warner,28,LB,17,17,230,6-3,376.3
DaShaun White,24,LB,1,0,225,6-0,376.3
Trent Williams,36,OT,10,10,320,6-5,376.3
Brayden Willis,25,TE,10,0,240,6-4,376.3
Dee Winters,24,LB,15,10,227,5-11,376.3
Mitch Wishnowsky,32,P,9,0,220,6-2,376.3
Rock Ya-Sin,28,CB,13,0,195,5-11,376.3
Isaac Yiadom,28,CB,17,5,232,6-1,376.3
Nick Zakelj,25,OL,17,2,316,6-6,376.3
Isaac Alarcon (FRES),26,OL,0,0,320,6-7,376.3
Russell Gage (FRES),28,WR,0,0,184,6-0,376.3
Jonathan Garvin (FRES),25,DL,0,0,257,6-4,376.3
Sebastian Gutierrez (FRES),26,T,1,0,308,6-6,376.3
Isaiah Hodgins (FRES),26,WR,0,0,200,6-3,376.3
Tarron Jackson (FRES),26,DL,0,0,254,6-2,376.3
Quindell Johnson (FRES),25,S,0,0,208,6-2,376.3
Zack Johnson (FRES),31,OL,0,0,301,6-6,376.3
Chase Lucas (FRES),27,CB,0,0,184,5-11,376.3
Jaylen Mahoney (FRES),24,S,3,0,200,5-11,376.3
Jalen McKenzie (FRES),25,T,0,0,315,6-5,376.3
Tanner Mordecai (FRES),25,QB,0,0,218,6-2,376.3
Drake Nugent (FRES),23,OL,0,0,298,6-1,376.3
Terique Owens (FRES),25,WR,0,0,193,6-3,376.3
Mason Pline (FRES),24,TE,0,0,254,6-6,376.3
Trent Taylor (FRES),30,WR,2,0,178,5-8,376.3
Josh Allen,28,QB,17,17,237,6-5,359.1
Alec Anderson,25,T,17,4,305,6-5,359.1
Joe Andreessen,24,LB,13,1,232,6-1,359.1
Tyler Bass,27,K,17,0,183,5-10,359.1
Christian Benford,24,CB,15,15,205,6-1,359.1
Terrel Bernard,25,LB,13,13,224,6-1,359.1
Cole Bishop,22,S,16,4,207,6-2,359.1
Spencer Brown,26,T,15,15,311,6-6,359.1
Shane Buechele,26,QB,0,0,210,6-0,359.1
